Materiale,Colore,Manica,Stagione,time,Meteo,TemperaturaPercepita,StagionePrevisione,Mese
lino,scuro,corta,estate,2022-03-12,soleggiato,-0.7999999999999998,primavera,marzo
lino,chiaro,corta,primavera_estate,2022-01-25,soleggiato,-3.25,inverno,gennaio
raso,colorato,lunga,estate,2022-01-23,soleggiato,1.7999999999999998,inverno,gennaio
seta,colorato,lunga,primavera,2022-09-22,soleggiato,15.15,autunno,settembre
raso,chiaro,lunga,primavera,2022-12-04,pioggia,7.5,inverno,dicembre
raso,scuro,lunga,primavera_estate,2022-09-11,pioggia,22.55,autunno,settembre
seta,colorato,corta,primavera_estate,2022-12-16,pioggia,15.9,inverno,dicembre
seta,scuro,lunga,primavera,2022-01-16,soleggiato,8.1,inverno,gennaio
lino,colorato,corta,estate,2022-01-11,soleggiato,1.5,inverno,gennaio
raso,chiaro,lunga,estate,2022-07-30,soleggiato,31.65,estate,luglio
lino,chiaro,lunga,primavera,2022-05-29,pioggia,13.8,primavera,maggio
lino,chiaro,corta,primavera,2022-06-20,soleggiato,19.5,estate,giugno
raso,chiaro,corta,estate,2022-01-02,pioggia,6.45,inverno,gennaio
seta,scuro,lunga,primavera,2022-08-30,pioggia,28.700000000000003,estate,agosto
seta,colorato,lunga,estate,2022-12-06,soleggiato,-4.05,inverno,dicembre
seta,chiaro,lunga,primavera,2022-03-05,soleggiato,1.4,primavera,marzo
raso,chiaro,lunga,primavera,2022-02-12,soleggiato,8.1,inverno,febbraio
lino,chiaro,corta,primavera,2022-06-05,soleggiato,29.4,estate,giugno
lino,colorato,lunga,primavera,2022-03-02,soleggiato,1.4000000000000004,primavera,marzo
raso,scuro,corta,primavera,2022-06-26,soleggiato,25.45,estate,giugno
lino,chiaro,corta,estate,2022-02-18,nuvoloso,6.3,inverno,febbraio
raso,colorato,corta,estate,2022-05-19,soleggiato,18.65,primavera,maggio
raso,chiaro,lunga,primavera_estate,2022-12-16,neve,1.2499999999999998,inverno,dicembre
lino,chiaro,lunga,estate,2022-08-15,soleggiato,27.8,estate,agosto
raso,colorato,corta,primavera,2022-11-17,pioggia,7.4,autunno,novembre
seta,chiaro,corta,primavera_estate,2022-05-06,pioggia,13.0,primavera,maggio
seta,scuro,lunga,primavera_estate,2022-09-22,soleggiato,13.05,autunno,settembre
seta,colorato,corta,estate,2022-04-24,pioggia,11.4,primavera,aprile
lino,scuro,corta,primavera,2022-11-09,pioggia,3.4,autunno,novembre
seta,colorato,corta,primavera,2022-11-25,nuvoloso,5.4,autunno,novembre
lino,colorato,corta,primavera_estate,2022-06-04,pioggia,17.7,estate,giugno
lino,colorato,lunga,estate,2022-07-14,soleggiato,29.4,estate,luglio
lino,chiaro,corta,primavera,2022-01-24,pioggia,0.7999999999999998,inverno,gennaio
raso,scuro,lunga,primavera,2022-01-29,soleggiato,2.45,inverno,gennaio
raso,chiaro,lunga,primavera_estate,2022-06-29,pioggia,27.8,estate,giugno
lino,colorato,corta,primavera_estate,2022-05-31,pioggia,22.15,primavera,maggio
seta,chiaro,corta,primavera,2022-03-21,soleggiato,-2.65,primavera,marzo
raso,scuro,lunga,primavera_estate,2022-12-04,pioggia,6.15,inverno,dicembre
raso,scuro,lunga,primavera_estate,2022-12-02,neve,0.7999999999999998,inverno,dicembre
raso,scuro,corta,primavera,2022-04-10,soleggiato,6.85,primavera,aprile
lino,scuro,lunga,primavera,2022-11-17,nuvoloso,11.8,autunno,novembre
raso,scuro,lunga,primavera_estate,2022-10-17,nuvoloso,10.3,autunno,ottobre
lino,scuro,corta,primavera_estate,2022-08-01,soleggiato,27.05,estate,agosto
lino,chiaro,corta,estate,2022-02-04,soleggiato,-3.3,inverno,febbraio
seta,colorato,corta,primavera_estate,2022-10-03,soleggiato,23.65,autunno,ottobre
raso,colorato,lunga,primavera_estate,2022-08-27,pioggia,17.1,estate,agosto
raso,scuro,lunga,primavera_estate,2022-07-09,soleggiato,29.25,estate,luglio
seta,scuro,lunga,primavera,2022-10-14,soleggiato,16.4,autunno,ottobre
seta,colorato,lunga,primavera,2022-11-22,pioggia,4.75,autunno,novembre
lino,colorato,corta,primavera_estate,2022-05-10,pioggia,19.55,primavera,maggio
seta,colorato,lunga,primavera,2022-04-25,pioggia,9.4,primavera,aprile
raso,scuro,corta,primavera_estate,2022-03-01,pioggia,0.8999999999999999,primavera,marzo
raso,scuro,corta,estate,2022-10-03,nuvoloso,21.15,autunno,ottobre
seta,scuro,lunga,primavera,2022-07-06,pioggia,16.45,estate,luglio
lino,colorato,lunga,primavera_estate,2022-09-02,soleggiato,31.0,autunno,settembre
lino,colorato,lunga,primavera_estate,2022-04-07,pioggia,6.949999999999999,primavera,aprile
seta,scuro,lunga,estate,2022-05-04,soleggiato,16.5,primavera,maggio
raso,colorato,lunga,primavera,2022-09-08,pioggia,28.75,autunno,settembre
seta,colorato,lunga,estate,2022-12-20,nuvoloso,3.8,inverno,dicembre
lino,scuro,lunga,primavera,2022-11-22,neve,-1.65,autunno,novembre
raso,chiaro,corta,primavera,2022-11-18,pioggia,21.65,autunno,novembre
seta,colorato,corta,estate,2022-10-31,soleggiato,10.35,autunno,ottobre
seta,chiaro,corta,primavera,2022-10-01,pioggia,20.0,autunno,ottobre
raso,scuro,lunga,estate,2022-04-12,soleggiato,7.0,primavera,aprile
lino,scuro,corta,primavera_estate,2022-08-29,nuvoloso,27.55,estate,agosto
raso,colorato,corta,primavera_estate,2022-02-21,pioggia,8.049999999999999,inverno,febbraio
lino,scuro,corta,estate,2022-07-18,pioggia,24.25,estate,luglio
seta,chiaro,lunga,primavera_estate,2022-08-11,soleggiato,26.65,estate,agosto
lino,chiaro,lunga,primavera,2022-03-08,soleggiato,-0.55,primavera,marzo
lino,chiaro,corta,primavera_estate,2022-12-23,pioggia,11.6,inverno,dicembre
lino,chiaro,corta,primavera_estate,2022-05-31,pioggia,22.95,primavera,maggio
seta,chiaro,corta,primavera_estate,2022-12-13,pioggia,16.299999999999997,inverno,dicembre
raso,colorato,corta,estate,2022-08-24,soleggiato,27.3,estate,agosto
seta,scuro,lunga,estate,2022-01-16,nuvoloso,5.1000000000000005,inverno,gennaio
raso,scuro,lunga,primavera_estate,2022-03-05,pioggia,9.35,primavera,marzo
seta,scuro,lunga,primavera,2022-09-24,pioggia,17.3,autunno,settembre
raso,colorato,lunga,primavera_estate,2022-11-10,pioggia,12.7,autunno,novembre
seta,chiaro,corta,primavera_estate,2022-11-07,pioggia,7.85,autunno,novembre
lino,chiaro,lunga,primavera,2022-06-03,pioggia,21.9,estate,giugno
raso,chiaro,lunga,primavera,2022-07-04,soleggiato,31.15,estate,luglio
seta,colorato,corta,primavera_estate,2022-02-21,pioggia,6.5,inverno,febbraio
lino,colorato,corta,primavera_estate,2022-02-07,pioggia,7.699999999999999,inverno,febbraio
lino,chiaro,corta,primavera,2022-04-28,soleggiato,17.4,primavera,aprile
lino,colorato,corta,estate,2022-08-25,soleggiato,26.85,estate,agosto
lino,colorato,corta,estate,2022-02-21,pioggia,8.0,inverno,febbraio
seta,scuro,lunga,primavera,2022-03-22,soleggiato,5.55,primavera,marzo
lino,chiaro,corta,primavera,2022-04-30,soleggiato,13.1,primavera,aprile
seta,scuro,corta,primavera,2022-08-03,soleggiato,33.55,estate,agosto
raso,scuro,lunga,primavera,2022-04-06,pioggia,11.5,primavera,aprile
seta,scuro,corta,primavera_estate,2022-08-27,pioggia,21.8,estate,agosto
raso,chiaro,corta,estate,2022-07-09,soleggiato,24.5,estate,luglio
lino,colorato,lunga,estate,2022-03-17,nuvoloso,9.65,primavera,marzo
raso,scuro,corta,primavera_estate,2022-01-13,soleggiato,-0.5499999999999998,inverno,gennaio
seta,colorato,lunga,estate,2022-03-19,pioggia,13.0,primavera,marzo
raso,colorato,lunga,primavera_estate,2022-10-26,soleggiato,15.4,autunno,ottobre
raso,colorato,lunga,primavera,2022-10-12,pioggia,24.65,autunno,ottobre
lino,colorato,lunga,primavera,2022-02-12,soleggiato,3.0,inverno,febbraio
seta,colorato,corta,estate,2022-12-01,pioggia,3.1,inverno,dicembre
seta,colorato,lunga,primavera_estate,2022-03-20,soleggiato,6.800000000000001,primavera,marzo
seta,colorato,corta,primavera_estate,2022-03-24,soleggiato,10.2,primavera,marzo
seta,chiaro,lunga,primavera,2022-12-16,pioggia,4.5,inverno,dicembre
seta,chiaro,lunga,primavera,2022-10-23,nuvoloso,21.3,autunno,ottobre
lino,chiaro,lunga,estate,2022-09-30,pioggia,17.4,autunno,settembre
lino,colorato,lunga,primavera_estate,2022-11-21,pioggia,4.55,autunno,novembre
seta,scuro,lunga,primavera_estate,2022-09-13,soleggiato,17.35,autunno,settembre
lino,colorato,lunga,primavera_estate,2022-07-02,soleggiato,28.200000000000003,estate,luglio
seta,colorato,corta,primavera_estate,2022-06-09,soleggiato,26.4,estate,giugno
lino,colorato,lunga,primavera_estate,2022-04-15,soleggiato,15.9,primavera,aprile
seta,scuro,lunga,primavera,2022-10-24,nuvoloso,21.15,autunno,ottobre
lino,colorato,lunga,primavera_estate,2022-05-21,soleggiato,19.15,primavera,maggio
seta,chiaro,lunga,estate,2022-04-12,soleggiato,10.75,primavera,aprile
raso,chiaro,lunga,primavera_estate,2022-11-18,pioggia,7.4,autunno,novembre
raso,chiaro,lunga,estate,2022-01-22,soleggiato,0.25,inverno,gennaio
lino,scuro,corta,primavera_estate,2022-07-17,pioggia,19.2,estate,luglio
lino,chiaro,lunga,estate,2022-01-27,soleggiato,5.4,inverno,gennaio
lino,chiaro,corta,primavera,2022-06-20,soleggiato,25.5,estate,giugno
raso,scuro,lunga,primavera_estate,2022-06-25,pioggia,26.3,estate,giugno
seta,colorato,corta,primavera,2022-07-04,soleggiato,35.25,estate,luglio
raso,chiaro,corta,primavera,2022-01-30,soleggiato,5.0,inverno,gennaio
lino,chiaro,corta,primavera_estate,2022-09-25,pioggia,11.95,autunno,settembre
lino,scuro,corta,primavera,2022-01-17,nuvoloso,8.5,inverno,gennaio
seta,chiaro,corta,estate,2022-12-14,pioggia,13.9,inverno,dicembre
raso,chiaro,corta,estate,2022-03-12,pioggia,9.7,primavera,marzo
raso,colorato,corta,primavera_estate,2022-07-11,soleggiato,24.75,estate,luglio
seta,colorato,lunga,primavera_estate,2022-02-04,soleggiato,4.800000000000001,inverno,febbraio
seta,chiaro,lunga,estate,2022-07-21,soleggiato,30.9,estate,luglio
raso,scuro,corta,primavera_estate,2022-01-17,soleggiato,-5.8,inverno,gennaio
raso,colorato,lunga,primavera_estate,2022-02-02,neve,6.550000000000001,inverno,febbraio
raso,colorato,corta,primavera,2022-08-10,soleggiato,27.8,estate,agosto
seta,scuro,corta,estate,2022-03-28,soleggiato,10.75,primavera,marzo
raso,chiaro,lunga,primavera,2022-12-01,pioggia,8.35,inverno,dicembre
lino,colorato,corta,primavera,2022-04-27,soleggiato,14.95,primavera,aprile
seta,chiaro,lunga,primavera,2022-02-08,soleggiato,3.25,inverno,febbraio
raso,scuro,corta,estate,2022-08-28,pioggia,26.700000000000003,estate,agosto
lino,scuro,corta,estate,2022-10-09,nuvoloso,18.2,autunno,ottobre
lino,chiaro,corta,primavera,2022-05-25,pioggia,22.8,primavera,maggio
seta,chiaro,corta,estate,2022-06-05,soleggiato,32.3,estate,giugno
raso,chiaro,corta,primavera_estate,2022-05-25,pioggia,20.55,primavera,maggio
raso,scuro,lunga,primavera,2022-04-21,pioggia,16.15,primavera,aprile
lino,chiaro,corta,primavera,2022-02-18,pioggia,5.6,inverno,febbraio
seta,chiaro,lunga,primavera,2022-04-02,pioggia,3.55,primavera,aprile
lino,scuro,lunga,primavera_estate,2022-09-02,soleggiato,25.75,autunno,settembre
lino,scuro,corta,estate,2022-04-23,nuvoloso,13.05,primavera,aprile
seta,colorato,lunga,estate,2022-05-25,pioggia,19.05,primavera,maggio
lino,colorato,lunga,estate,2022-12-03,pioggia,6.05,inverno,dicembre
raso,scuro,lunga,primavera_estate,2022-02-01,pioggia,4.3,inverno,febbraio
seta,colorato,lunga,estate,2022-10-03,pioggia,20.5,autunno,ottobre
seta,chiaro,corta,estate,2022-03-28,pioggia,9.75,primavera,marzo
lino,scuro,lunga,estate,2022-05-26,soleggiato,24.3,primavera,maggio
raso,chiaro,lunga,estate,2022-04-06,pioggia,6.949999999999999,primavera,aprile
seta,chiaro,corta,primavera_estate,2022-09-05,soleggiato,28.15,autunno,settembre
raso,colorato,corta,estate,2022-10-23,pioggia,22.950000000000003,autunno,ottobre
raso,scuro,lunga,primavera_estate,2022-08-07,pioggia,25.65,estate,agosto
raso,colorato,lunga,primavera,2022-01-01,soleggiato,8.0,inverno,gennaio
lino,scuro,lunga,primavera,2022-02-08,soleggiato,3.95,inverno,febbraio
lino,chiaro,corta,primavera,2022-10-05,soleggiato,18.4,autunno,ottobre
raso,scuro,corta,estate,2022-06-11,soleggiato,24.45,estate,giugno
seta,chiaro,lunga,primavera,2022-07-10,soleggiato,23.8,estate,luglio
raso,colorato,corta,primavera,2022-11-14,pioggia,13.95,autunno,novembre
raso,scuro,corta,primavera_estate,2022-01-27,nuvoloso,0.3500000000000001,inverno,gennaio
lino,colorato,corta,primavera_estate,2022-01-15,soleggiato,-2.15,inverno,gennaio
raso,colorato,corta,primavera,2022-06-30,soleggiato,28.3,estate,giugno
lino,colorato,lunga,primavera_estate,2022-05-31,pioggia,20.2,primavera,maggio
seta,scuro,corta,primavera_estate,2022-02-25,soleggiato,10.45,inverno,febbraio
raso,chiaro,lunga,primavera,2022-03-09,soleggiato,1.65,primavera,marzo
seta,chiaro,lunga,primavera_estate,2022-09-29,pioggia,17.65,autunno,settembre
lino,chiaro,corta,estate,2022-06-29,soleggiato,29.05,estate,giugno
lino,scuro,lunga,estate,2022-04-21,pioggia,13.2,primavera,aprile
raso,scuro,lunga,primavera_estate,2022-08-31,pioggia,26.4,estate,agosto
seta,colorato,corta,primavera,2022-01-23,soleggiato,2.4,inverno,gennaio
seta,chiaro,corta,primavera,2022-10-13,nuvoloso,17.6,autunno,ottobre
seta,chiaro,lunga,estate,2022-03-21,soleggiato,4.85,primavera,marzo
seta,scuro,corta,estate,2022-11-20,pioggia,7.399999999999999,autunno,novembre
raso,chiaro,lunga,primavera_estate,2022-06-24,soleggiato,24.85,estate,giugno
lino,colorato,corta,estate,2022-02-11,pioggia,8.25,inverno,febbraio
seta,scuro,lunga,primavera,2022-11-22,pioggia,3.55,autunno,novembre
raso,chiaro,corta,primavera_estate,2022-12-12,nuvoloso,2.6500000000000004,inverno,dicembre
seta,colorato,lunga,primavera,2022-08-05,pioggia,32.85,estate,agosto
seta,colorato,corta,primavera_estate,2022-09-05,pioggia,23.55,autunno,settembre
seta,chiaro,lunga,primavera_estate,2022-07-08,soleggiato,25.4,estate,luglio
lino,scuro,corta,primavera,2022-02-13,soleggiato,1.5,inverno,febbraio
lino,colorato,corta,primavera_estate,2022-06-23,pioggia,29.15,estate,giugno
lino,scuro,lunga,primavera,2022-08-25,pioggia,18.2,estate,agosto
seta,scuro,lunga,estate,2022-02-04,soleggiato,5.55,inverno,febbraio
lino,scuro,lunga,estate,2022-07-20,soleggiato,31.0,estate,luglio
lino,colorato,lunga,estate,2022-05-30,soleggiato,23.85,primavera,maggio
raso,colorato,lunga,primavera_estate,2022-11-25,nuvoloso,6.9,autunno,novembre
seta,colorato,corta,primavera,2022-07-12,nuvoloso,27.85,estate,luglio
lino,scuro,corta,primavera,2022-09-09,pioggia,23.85,autunno,settembre
raso,scuro,corta,primavera_estate,2022-01-05,pioggia,10.25,inverno,gennaio
lino,scuro,corta,primavera,2022-02-17,soleggiato,6.45,inverno,febbraio
raso,scuro,lunga,estate,2022-03-29,nuvoloso,10.85,primavera,marzo
lino,scuro,lunga,estate,2022-08-25,soleggiato,27.95,estate,agosto
seta,colorato,corta,estate,2022-12-05,nuvoloso,6.1,inverno,dicembre
lino,colorato,corta,primavera,2022-07-23,pioggia,20.200000000000003,estate,luglio
seta,chiaro,corta,estate,2022-08-02,pioggia,28.7,estate,agosto
raso,scuro,lunga,estate,2022-06-12,soleggiato,25.9,estate,giugno
seta,colorato,corta,estate,2022-05-10,pioggia,12.8,primavera,maggio
lino,scuro,corta,primavera,2022-04-01,pioggia,6.8500000000000005,primavera,aprile
raso,colorato,lunga,primavera_estate,2022-09-30,pioggia,20.95,autunno,settembre
raso,colorato,lunga,estate,2022-12-24,pioggia,14.3,inverno,dicembre
lino,colorato,corta,primavera,2022-09-27,pioggia,17.95,autunno,settembre
raso,colorato,lunga,estate,2022-09-27,pioggia,16.799999999999997,autunno,settembre
seta,scuro,corta,primavera_estate,2022-04-07,soleggiato,11.15,primavera,aprile
seta,colorato,lunga,primavera,2022-07-06,pioggia,28.05,estate,luglio
seta,chiaro,corta,estate,2022-05-21,soleggiato,21.0,primavera,maggio
raso,colorato,lunga,primavera,2022-09-06,pioggia,27.25,autunno,settembre
seta,scuro,lunga,estate,2022-01-28,pioggia,7.0,inverno,gennaio
raso,scuro,lunga,primavera,2022-07-11,soleggiato,24.450000000000003,estate,luglio
raso,colorato,lunga,primavera_estate,2022-04-20,nuvoloso,10.85,primavera,aprile
seta,chiaro,lunga,primavera,2022-01-28,pioggia,5.6000000000000005,inverno,gennaio
raso,chiaro,lunga,primavera,2022-11-04,pioggia,12.75,autunno,novembre
raso,colorato,corta,primavera,2022-03-15,pioggia,7.9,primavera,marzo
lino,chiaro,lunga,estate,2022-03-13,nuvoloso,4.7,primavera,marzo
lino,colorato,lunga,estate,2022-03-16,soleggiato,5.35,primavera,marzo
lino,chiaro,lunga,primavera_estate,2022-05-15,pioggia,24.75,primavera,maggio
seta,scuro,corta,estate,2022-04-10,neve,2.1,primavera,aprile
raso,chiaro,corta,estate,2022-07-11,soleggiato,17.9,estate,luglio
raso,chiaro,lunga,primavera,2022-11-08,nuvoloso,9.4,autunno,novembre
raso,colorato,corta,primavera_estate,2022-06-06,soleggiato,27.5,estate,giugno
lino,scuro,lunga,estate,2022-07-15,soleggiato,25.6,estate,luglio
raso,scuro,lunga,estate,2022-05-10,soleggiato,20.450000000000003,primavera,maggio
seta,colorato,corta,primavera_estate,2022-12-20,soleggiato,2.0,inverno,dicembre
lino,colorato,corta,estate,2022-11-21,pioggia,10.65,autunno,novembre
seta,chiaro,corta,primavera_estate,2022-05-26,soleggiato,24.85,primavera,maggio
raso,colorato,corta,primavera,2022-07-15,soleggiato,31.35,estate,luglio
lino,scuro,corta,primavera_estate,2022-04-03,neve,-5.3500000000000005,primavera,aprile
lino,colorato,lunga,estate,2022-02-18,nuvoloso,6.3,inverno,febbraio
seta,scuro,corta,primavera_estate,2022-04-15,pioggia,11.9,primavera,aprile
raso,scuro,corta,primavera_estate,2022-09-02,soleggiato,22.85,autunno,settembre
raso,scuro,lunga,primavera_estate,2022-07-23,soleggiato,35.15,estate,luglio
raso,colorato,corta,primavera,2022-08-21,pioggia,16.15,estate,agosto
lino,colorato,corta,estate,2022-01-27,pioggia,6.95,inverno,gennaio
seta,chiaro,lunga,estate,2022-10-24,pioggia,21.45,autunno,ottobre
seta,chiaro,lunga,primavera,2022-06-04,soleggiato,31.700000000000003,estate,giugno
seta,chiaro,corta,primavera,2022-06-06,soleggiato,30.6,estate,giugno
lino,colorato,corta,estate,2022-06-05,pioggia,28.4,estate,giugno
lino,chiaro,lunga,estate,2022-06-16,soleggiato,28.55,estate,giugno
seta,colorato,lunga,estate,2022-05-01,soleggiato,14.35,primavera,maggio
raso,colorato,corta,primavera_estate,2022-01-18,soleggiato,9.9,inverno,gennaio
raso,chiaro,corta,primavera,2022-01-23,soleggiato,0.0,inverno,gennaio
lino,chiaro,lunga,primavera_estate,2022-11-07,soleggiato,15.15,autunno,novembre
seta,scuro,lunga,primavera_estate,2022-08-10,soleggiato,24.9,estate,agosto
lino,scuro,lunga,primavera_estate,2022-07-08,soleggiato,26.25,estate,luglio
seta,colorato,corta,primavera,2022-02-17,nuvoloso,6.1,inverno,febbraio
seta,colorato,lunga,estate,2022-03-26,soleggiato,10.75,primavera,marzo
seta,chiaro,corta,estate,2022-06-23,pioggia,22.25,estate,giugno
raso,chiaro,lunga,estate,2022-11-26,pioggia,15.05,autunno,novembre
raso,chiaro,corta,primavera,2022-03-23,soleggiato,2.25,primavera,marzo
seta,chiaro,lunga,primavera,2022-09-24,pioggia,16.4,autunno,settembre
seta,colorato,lunga,estate,2022-10-09,pioggia,19.0,autunno,ottobre
lino,colorato,lunga,estate,2022-07-26,soleggiato,34.45,estate,luglio
raso,colorato,corta,primavera_estate,2022-04-10,soleggiato,10.9,primavera,aprile
seta,scuro,corta,primavera_estate,2022-11-15,pioggia,1.45,autunno,novembre
raso,scuro,corta,primavera_estate,2022-07-11,pioggia,26.95,estate,luglio
seta,scuro,lunga,estate,2022-09-22,soleggiato,10.2,autunno,settembre
seta,scuro,lunga,estate,2022-06-06,pioggia,22.35,estate,giugno
raso,scuro,lunga,primavera,2022-10-14,pioggia,14.35,autunno,ottobre
raso,colorato,corta,primavera_estate,2022-06-26,pioggia,22.85,estate,giugno
raso,chiaro,corta,estate,2022-10-25,soleggiato,19.9,autunno,ottobre
raso,colorato,lunga,primavera,2022-01-04,nuvoloso,11.7,inverno,gennaio
lino,scuro,lunga,primavera_estate,2022-05-01,pioggia,10.7,primavera,maggio
lino,chiaro,corta,primavera,2022-09-13,soleggiato,25.0,autunno,settembre
lino,scuro,corta,primavera,2022-08-16,pioggia,25.75,estate,agosto
raso,colorato,corta,estate,2022-10-18,soleggiato,18.3,autunno,ottobre
lino,colorato,corta,primavera_estate,2022-07-06,pioggia,32.05,estate,luglio
lino,chiaro,lunga,primavera_estate,2022-08-20,soleggiato,26.1,estate,agosto
lino,colorato,corta,estate,2022-10-28,soleggiato,17.85,autunno,ottobre
seta,chiaro,lunga,estate,2022-09-04,pioggia,26.35,autunno,settembre
seta,chiaro,lunga,estate,2022-03-22,soleggiato,5.5,primavera,marzo
raso,colorato,corta,primavera,2022-03-10,soleggiato,5.050000000000001,primavera,marzo
seta,chiaro,lunga,primavera_estate,2022-06-24,pioggia,24.2,estate,giugno
seta,scuro,lunga,estate,2022-04-21,pioggia,17.15,primavera,aprile
lino,scuro,lunga,primavera,2022-12-08,pioggia,3.3000000000000003,inverno,dicembre
seta,colorato,lunga,estate,2022-10-26,pioggia,18.1,autunno,ottobre
raso,chiaro,corta,primavera_estate,2022-10-08,nuvoloso,18.35,autunno,ottobre
lino,chiaro,lunga,estate,2022-05-26,pioggia,21.15,primavera,maggio
lino,chiaro,corta,primavera,2022-10-29,soleggiato,17.25,autunno,ottobre
seta,chiaro,lunga,primavera_estate,2022-06-17,pioggia,17.0,estate,giugno
seta,scuro,lunga,primavera,2022-03-02,soleggiato,2.05,primavera,marzo
lino,scuro,lunga,estate,2022-07-16,pioggia,25.55,estate,luglio
